[2024-12-02 22:20:41,223] ERROR: Failed to download ChromeDriver: Failed to retrieve the latest ChromeDriver version for Chrome 131
[2024-12-02 22:20:41,223] ERROR: Dependency check failed: Failed to retrieve the latest ChromeDriver version for Chrome 131
[2024-12-02 22:26:05,909] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 22:26:05,909] INFO: Checking Google Chrome version...
[2024-12-02 22:26:05,957] INFO: Google Chrome version detected: 131.0.6778.86
[2024-12-02 22:26:05,957] INFO: ChromeDriver not found. Downloading...
[2024-12-02 22:26:05,957] INFO: Determining the correct ChromeDriver version...
[2024-12-02 22:26:05,957] INFO: Fetching the latest ChromeDriver version for Chrome 131.0.6778...
[2024-12-02 22:26:06,312] ERROR: Failed to download ChromeDriver: Failed to retrieve the latest ChromeDriver version for Chrome 131.0.6778
[2024-12-02 22:26:06,312] ERROR: Dependency check failed: Failed to retrieve the latest ChromeDriver version for Chrome 131.0.6778
[2024-12-02 22:38:21,558] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 22:38:21,560] INFO: Setting up ChromeDriver...
[2024-12-02 22:38:21,560] INFO: ====== WebDriver manager ======
[2024-12-02 22:38:24,496] INFO: Get LATEST chromedriver version for google-chrome
[2024-12-02 22:38:24,555] INFO: Get LATEST chromedriver version for google-chrome
[2024-12-02 22:38:24,586] INFO: There is no [win64] chromedriver "131.0.6778.85" for browser google-chrome "131.0.6778" in cache
[2024-12-02 22:38:24,586] INFO: Get LATEST chromedriver version for google-chrome
[2024-12-02 22:38:24,700] INFO: WebDriver version 131.0.6778.85 selected
[2024-12-02 22:38:24,700] INFO: Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/131.0.6778.85/win32/chromedriver-win32.zip
[2024-12-02 22:38:24,716] INFO: About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/131.0.6778.85/win32/chromedriver-win32.zip
[2024-12-02 22:38:24,835] INFO: Driver downloading response is 200
[2024-12-02 22:38:25,139] INFO: Get LATEST chromedriver version for google-chrome
[2024-12-02 22:38:25,433] INFO: Driver has been saved in cache [C:\Users\satya\.wdm\drivers\chromedriver\win64\131.0.6778.85]
[2024-12-02 22:38:30,576] INFO: ChromeDriver setup complete.
[2024-12-02 22:38:30,576] INFO: Setting up ChromeDriver...
[2024-12-02 22:38:30,576] INFO: ====== WebDriver manager ======
[2024-12-02 22:38:32,769] INFO: Get LATEST chromedriver version for google-chrome
[2024-12-02 22:38:35,943] INFO: Get LATEST chromedriver version for google-chrome
[2024-12-02 22:38:36,000] INFO: Driver [C:\Users\satya\.wdm\drivers\chromedriver\win64\131.0.6778.85\chromedriver-win32/chromedriver.exe] found in cache
[2024-12-02 22:38:37,207] INFO: ChromeDriver setup complete.
[2024-12-02 22:38:37,282] INFO: Server listening on 0.0.0.0:9999
[2024-12-02 22:39:39,042] INFO: ViGEmBus driver is installed and operational.
[2024-12-02 22:39:39,044] INFO: Setting up ChromeDriver...
[2024-12-02 22:39:39,044] INFO: ====== WebDriver manager ======
[2024-12-02 22:39:41,083] INFO: Get LATEST chromedriver version for google-chrome
[2024-12-02 22:39:41,148] INFO: Get LATEST chromedriver version for google-chrome
[2024-12-02 22:39:41,200] INFO: Driver [C:\Users\satya\.wdm\drivers\chromedriver\win64\131.0.6778.85\chromedriver-win32/chromedriver.exe] found in cache
[2024-12-02 22:39:42,420] INFO: ChromeDriver setup complete.
[2024-12-02 22:39:42,420] INFO: Setting up ChromeDriver...
[2024-12-02 22:39:42,420] INFO: ====== WebDriver manager ======
[2024-12-02 22:39:44,593] INFO: Get LATEST chromedriver version for google-chrome
